#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR3950474_SRR3950474_db1.metaphlan	SRR3950479_SRR3950479_db1.metaphlan	SRR3950484_SRR3950484_db1.metaphlan	SRR3950488_SRR3950488_db1.metaphlan
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	0.15285	0.02162	0.22991	0.1036
k__Bacteria|p__Firmicutes|c__CFGB1527	0.12702	0.0772	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	0.03821	0.02423	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1.16885	0.32458	0.0	2.78213
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.01171	0.0	0.0	0.00421
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	0.01223	0.0	0.0	0.00455
k__Bacteria|p__Firmicutes|c__CFGB1218|o__OFGB1218	0.01247	0.01333	0.0	0.01158
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.01478	0.00115	5.30938	0.03067
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	0.01605	0.03045	0.0	0.02454
k__Bacteria|p__Firmicutes|c__CFGB77220|o__OFGB77220	0.03711	0.03701	0.0	0.07436
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262	0.0	0.00226	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84435|o__OFGB84435	0.0	0.00245	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839	0.0	0.00248	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB52309|o__OFGB52309	0.0	0.00257	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78453|o__OFGB78453	0.0	0.00289	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.0	0.00342	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB74971|o__OFGB74971	0.0	0.00373	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	0.0	0.0	0.00109	0.0
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	0.0	0.0	0.0	0.00169
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491	0.0	0.0	0.0	0.00266
k__Bacteria|p__Firmicutes|c__CFGB4605|o__OFGB4605	0.0	0.0	0.0	0.02622
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	6.09736	1.04927	8.31617	0.23485
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	6.92085	7.04896	0.13446	7.16742
k__Bacteria|p__Bacteroidota|c__CFGB11479|o__OFGB11479	10.21867	0.0	0.00442	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	12.02108	10.91859	0.93153	18.53823
k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629	13.72626	0.20799	0.00805	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	45.5667	48.3732	82.89985	62.0932
k__Bacteria|p__Firmicutes|c__CFGB32310|o__OFGB32310	0.0	0.00561	0.0	0.0
